Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
AEROFLEX,Aeroflex Industries Limited,0.0,0.0,0.0,0.0,0.0
AERONEU,Aeroflex Neu Limited,0.0,0.0,0.0,0.0,0.0
AETHER,Aether Industries Limited,0.0,0.0,0.0,0.0,0.0
AFCONS,Afcons Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
AFFLE,Affle 3i Limited,0.0,0.0,0.0,0.0,0.0
AFFORDABLE,Affordable Robotic & Automation Limited,0.0,0.0,0.0,0.0,0.0
AFIL,Akme Fintrade (India) Limited,0.0,0.0,0.0,0.0,0.0
AFSL,Abans Financial Services Limited,0.0,0.0,0.0,0.0,0.0
AGARIND,Agarwal Industrial Corporation Limited,0.0,0.0,0.0,0.0,0.0
AGARWALEYE,Dr. Agarwal's Health Care Limited,0.0,0.0,0.0,0.0,0.0
AGI,AGI Greenpac Limited,0.0,0.0,0.0,0.0,0.0
AGIIL,Agi Infra Limited,0.0,0.0,0.0,0.0,0.0
AGL,Allcargo Global Limited,0.0,0.0,0.0,0.0,0.0
AGRITECH,Agri-Tech (India) Limited,0.0,0.0,0.0,0.0,0.0
AGROPHOS,Agro Phos India Limited,0.0,0.0,0.0,0.0,0.0
AGSTRA,AGS Transact Technologies Limited,0.0,0.0,0.0,0.0,0.0
AHCL,Anlon Healthcare Limited,0.0,0.0,0.0,0.0,0.0
AHLADA,Ahlada Engineers Limited,0.0,0.0,0.0,0.0,0.0
AHLEAST,Asian Hotels (East) Limited,0.0,0.0,0.0,0.0,0.0
AHLUCONT,Ahluwalia Contracts (India) Limited,0.0,0.0,0.0,0.0,0.0
AHLWEST,Asian Hotels (West) Limited,0.0,0.0,0.0,0.0,0.0
AIAENG,AIA Engineering Limited,0.0,0.0,0.0,0.0,0.0
AIIL,Authum Investment & Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
AIRAN,Airan Limited,0.0,0.0,0.0,0.0,0.0
AIROLAM,Airo Lam limited,0.0,0.0,0.0,0.0,0.0
AJANTPHARM,Ajanta Pharma Limited,0.0,0.0,0.0,0.0,0.0
AJAXENGG,Ajax Engineering Limited,0.0,0.0,0.0,0.0,0.0
AJMERA,Ajmera Realty & Infra India Limited,0.0,0.0,0.0,0.0,0.0
AJOONI,Ajooni Biotech Limited,0.0,0.0,0.0,0.0,0.0
AKASH,Akash Infra-Projects Limited,0.0,0.0,0.0,0.0,0.0
AKCAPIT,AK Capital Services Limited,0.0,0.0,0.0,0.0,0.0
AKG,Akg Exim Limited,0.0,0.0,0.0,0.0,0.0
AKI,AKI India Limited,0.0,0.0,0.0,0.0,0.0
AKSHAR,Akshar Spintex Limited,0.0,0.0,0.0,0.0,0.0
AKSHARCHEM,AksharChem India Limited,0.0,0.0,0.0,0.0,0.0
AKSHOPTFBR,Aksh Optifibre Limited,0.0,0.0,0.0,0.0,0.0
AKUMS,Akums Drugs and Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
ALANKIT,Alankit Limited,0.0,0.0,0.0,0.0,0.0
ALBERTDAVD,Albert David Limited,0.0,0.0,0.0,0.0,0.0
ALEMBICLTD,Alembic Limited,0.0,0.0,0.0,0.0,0.0
ALGOQUANT,Algoquant Fintech Limited,0.0,0.0,0.0,0.0,0.0
ALICON,Alicon Castalloy Limited,0.0,0.0,0.0,0.0,0.0
ALIVUS,Alivus Life Sciences Limited,0.0,0.0,0.0,0.0,0.0
ALKALI,Alkali Metals Limited,0.0,0.0,0.0,0.0,0.0
ALKEM,Alkem Laboratories Limited,0.0,0.0,0.0,0.0,0.0
ALKYLAMINE,Alkyl Amines Chemicals Limited,0.0,0.0,0.0,0.0,0.0
ALLCARGO,Allcargo Logistics Limited,0.0,0.0,0.0,0.0,0.0
ALLDIGI,Alldigi Tech Limited,0.0,0.0,0.0,0.0,0.0
